record_id,left,hit,right
row_1353,"the children of Israel, and unto Pharaoh                     ",king,"of Egypt, to bring the children of"
row_1367,These are they which spake to Pharaoh                        ,king,"of Egypt, to bring out the children"
row_1368,am the LORD: speak thou unto Pharaoh                         ,king,of Egypt all that I say unto
row_1429,"of Egypt, and shall be a boil                                ",breaking,"forth with blains upon man, and upon"
row_1430,toward heaven; and it became a boil                          ,breaking,"forth with blains upon man, and upon"
row_1552,And it was told the                                          ,king,of Egypt that the people fled: and
row_1553,the LORD hardened the heart of Pharaoh                       ,king,"of Egypt, and he pursued after the"
row_1662,And ye shall be unto me a                                    ,kingdom,"of priests, and an holy nation. These"
row_1693,"noise of the trumpet, and the mountain                       ",smoking:,"and when the people saw it, they"
row_1736,If a thief be found                                          ,breaking,"up, and be smitten that he die,"
row_2095,And till Moses had done                                      ,speaking,"with them, he put a vail on"
row_2179,"foot of it of brass, of the                                  ",lookingglasses,"of the women assembling, which assembled at"
row_2287,the covenant of thy God to be                                ,lacking,from thy meat offering: with all thine
row_2751,lamb that hath any thing superfluous or                      ,lacking,"in his parts, that mayest thou offer"
row_3126,then he heard the voice of one                               ,speaking,unto him from off the mercy seat
row_3208,"bosom, as a nursing father beareth the                       ",sucking,"child, unto the land which thou swarest"
row_3351,as he had made an end of                                     ,speaking,"all these words, that the ground clave"
row_3435,Moses sent messengers from Kadesh unto the                   ,king,"of Edom, Thus saith thy brother Israel,"
row_3435,the wells: we will go by the                                 ,king’s,"high way, we will not turn to"
row_3446,And when                                                     ,king,"Arad the Canaanite, which dwelt in the"
row_3463,And Israel sent messengers unto Sihon                        ,king,"of the Amorites, saying, 21:22 Let me"
row_3463,but we will go along by the                                  ,king’s,"high way, until we be past thy"
row_3467,Heshbon was the city of Sihon the                            ,king,"of the Amorites, who had fought against"
row_3467,"Amorites, who had fought against the former                  ",king,"of Moab, and taken all his land"
row_3469,"and his daughters, into captivity unto Sihon                 ",king,of the Amorites.
row_3473,the way of Bashan: and Og the                                ,king,"of Bashan went out against them, he,"
row_3474,to him as thou didst unto Sihon                              ,king,"of the Amorites, which dwelt at Heshbon."
row_3479,And Balak the son of Zippor was                              ,king,of the Moabites at that time.
row_3484,"unto God, Balak the son of Zippor,                           ",king,"of Moab, hath sent unto me, saying,"
row_3517,"up his parable, and said, Balak the                          ",king,"of Moab hath brought me from Aram,"
row_3525,"with him, and the shout of a                                 ",king,is among them.
row_3536,"shall be in many waters, and his                             ",king,"shall be higher than Agag, and his"
row_3536,"shall be higher than Agag, and his                           ",kingdom,shall be exalted.
row_3686,And they slew the                                            ,kings,"of Midian, beside the rest of them"
row_3686,"and Zur, and Hur, and Reba, five                             ",kings,of Midian: Balaam also the son of
row_3737,"of Manasseh the son of Joseph, the                           ",kingdom,"of Sihon king of the Amorites, and"
row_3737,"son of Joseph, the kingdom of Sihon                          ",king,"of the Amorites, and the kingdom of"
row_3737,"Sihon king of the Amorites, and the                          ",kingdom,"of Og king of Bashan, the land,"
row_3737,"the Amorites, and the kingdom of Og                          ",king,"of Bashan, the land, with the cities"
row_3784,And                                                          ,king,"Arad the Canaanite, which dwelt in the"
row_3854,1:4 After he had slain Sihon the                             ,king,"of the Amorites, which dwelt in Heshbon,"
row_3854,"which dwelt in Heshbon, and Og the                           ",king,"of Bashan, which dwelt at Astaroth in"
row_3891,works of thy hand: he knoweth thy                            ,walking,through this great wilderness: these forty years
row_3902,"given into thine hand Sihon the Amorite,                     ",king,"of Heshbon, and his land: begin to"
row_3904,of the wilderness of Kedemoth unto Sihon                     ,king,"of Heshbon with words of peace, saying,"
row_3906,But Sihon                                                    ,king,of Heshbon would not let us pass
row_3912,the way to Bashan: and Og the                                ,king,"of Bashan came out against us, he"
row_3913,unto him as thou didst unto Sihon                            ,king,"of the Amorites, which dwelt at Heshbon."
row_3914,"delivered into our hands Og also, the                        ",king,"of Bashan, and all his people: and"
row_3915,"cities, all the region of Argob, the                         ",kingdom,of Og in Bashan.
row_3917,"destroyed them, as we did unto Sihon                         ",king,"of Heshbon, utterly destroying the men, women,"
row_3919,out of the hand of the two                                   ,kings,of the Amorites the land that was
row_3919,"unto Salchah and Edrei, cities of the                        ",kingdom,of Og in Bashan.
row_3920,For only Og                                                  ,king,of Bashan remained of the remnant of
row_3922,"of Gilead, and all Bashan, being the                         ",kingdom,"of Og, gave I unto the half"
row_3928,your God hath done unto these two                            ,kings:,so shall the LORD do unto all
row_3928,shall the LORD do unto all the                               ,kingdoms,whither thou passest.
row_3957,ever people hear the voice of God                            ,speaking,"out of the midst of the fire,"
row_3965,"against Bethpeor, in the land of Sihon                       ",king,"of the Amorites, who dwelt at Heshbon,"
row_3965,"his land, and the land of Og                                 ",king,"of Bashan, two kings of the Amorites,"
row_3965,"land of Og king of Bashan, two                               ",kings,"of the Amorites, which were on this"
row_3985,heard the voice of the living God                            ,speaking,"out of the midst of the fire,"
row_4012,"of bondmen, from the hand of Pharaoh                         ",king,of Egypt.
row_4025,And he shall deliver their                                   ,kings,"into thine hand, and thou shalt destroy"
row_4085,the midst of Egypt unto Pharaoh the                          ,king,"of Egypt, and unto all his land;"
row_4094,"And ye shall teach them your children,                       ",speaking,of them when thou sittest in thine
row_4197,"and shalt say, I will set a                                  ",king,"over me, like as all the nations"
row_4198,Thou shalt in any wise set him                               ,king,"over thee, whom the LORD thy God"
row_4198,from among thy brethren shalt thou set                       ,king,over thee: thou mayest not set a
row_4201,he sitteth upon the throne of his                            ,"kingdom,",that he shall write him a copy
row_4201,he may prolong his days in his                               ,"kingdom,","he, and his children, in the midst"
row_4239,the officers have made an end of                             ,speaking,unto the people that they shall make
row_4246,"besiege a city a long time, in                               ",making,"war against it to take it, thou"
row_4384,and shalt be removed into all the                            ,kingdoms,of the earth.
row_4393,"The LORD shall bring thee, and thy                           ",king,"which thou shalt set over thee, unto"
row_4421,"ye came unto this place, Sihon the                           ",king,"of Heshbon, and Og the king of"
row_4421,"the king of Heshbon, and Og the                              ",king,"of Bashan, came out against us unto"
row_4443,"he did to Sihon and to Og,                                   ",kings,"of the Amorites, and unto the land"
row_4479,"it, he abhorred them, because of the                         ",provoking,"of his sons, and of his daughters."
row_4500,And Moses made an end of                                     ,speaking,all these words to all Israel:
row_4510,And he was                                                   ,king,"in Jeshurun, when the heads of the"
row_4554,And it was told the                                          ,king,"of Jericho, saying, Behold, there came men"
row_4555,And the                                                      ,king,"of Jericho sent unto Rahab, saying, Bring"
row_4560,and what ye did unto the two                                 ,kings,"of the Amorites, that were on the"
row_4602,"it came to pass, when all the                                ",kings,"of the Amorites, which were on the"
row_4602,"side of Jordan westward, and all the                         ",kings,"of the Canaanites, which were by the"
row_4616,"given into thine hand Jericho, and the                       ",king,"thereof, and the mighty men of valour."
row_4662,I have given into thy hand the                               ,king,"of Ai, and his people, and his"
row_4662,thou shalt do to Ai and her                                  ,king,as thou didst unto Jericho and her
row_4662,as thou didst unto Jericho and her                           ,king:,"only the spoil thereof, and the cattle"
row_4672,"And it came to pass, when the                                ",king,"of Ai saw it, that they hasted"
row_4681,And the                                                      ,king,"of Ai they took alive, and brought"
row_4687,And the                                                      ,king,of Ai he hanged on a tree
row_4693,"it came to pass, when all the                                ",kings,"which were on this side Jordan, in"
row_4698,all that he did to the two                                   ,kings,"of the Amorites, that were beyond Jordan,"
row_4698,"Amorites, that were beyond Jordan, to Sihon                  ",king,"of Heshbon, and to Og king of"
row_4698,"Sihon king of Heshbon, and to Og                             ",king,"of Bashan, which was at Ashtaroth."
row_4714,"Now it came to pass, when Adonizedec                         ",king,of Jerusalem had heard how Joshua had
row_4714,he had done to Jericho and her                               ,"king,",so he had done to Ai and
row_4714,he had done to Ai and her                                    ,king;,and how the inhabitants of Gibeon had
row_4715,Wherefore Adonizedec                                         ,king,"of Jerusalem, sent unto Hoham king of"
row_4715,"Adonizedec king of Jerusalem, sent unto Hoham                ",king,"of Hebron, and unto Piram king of"
row_4715,"Hoham king of Hebron, and unto Piram                         ",king,"of Jarmuth, and unto Japhia king of"
row_4715,"Piram king of Jarmuth, and unto Japhia                       ",king,"of Lachish, and unto Debir king of"
row_4715,"Japhia king of Lachish, and unto Debir                       ",king,"of Eglon, saying, 10:4 Come up unto"
row_4716,Therefore the five                                           ,kings,"of the Amorites, the king of Jerusalem,"
row_4716,"the five kings of the Amorites, the                          ",king,"of Jerusalem, the king of Hebron, the"
row_4716,"the Amorites, the king of Jerusalem, the                     ",king,"of Hebron, the king of Jarmuth, the"
row_4716,"of Jerusalem, the king of Hebron, the                        ",king,"of Jarmuth, the king of Lachish, the"
row_4716,"of Hebron, the king of Jarmuth, the                          ",king,"of Lachish, the king of Eglon, gathered"
row_4716,"of Jarmuth, the king of Lachish, the                         ",king,"of Eglon, gathered themselves together, and went"
row_4717,"us, and help us: for all the                                 ",kings,of the Amorites that dwell in the
row_4727,But these five                                               ,kings,"fled, and hid themselves in a cave"
row_4728,"it was told Joshua, saying, The five                         ",kings,are found hid in a cave at
row_4732,"the cave, and bring out those five                           ",kings,unto me out of the cave.
row_4733,"did so, and brought forth those five                         ",kings,"unto him out of the cave, the"
row_4733,"unto him out of the cave, the                                ",king,"of Jerusalem, the king of Hebron, the"
row_4733,"the cave, the king of Jerusalem, the                         ",king,"of Hebron, the king of Jarmuth, the"
row_4733,"of Jerusalem, the king of Hebron, the                        ",king,"of Jarmuth, the king of Lachish, and"
row_4733,"of Hebron, the king of Jarmuth, the                          ",king,"of Lachish, and the king of Eglon."
row_4733,"Jarmuth, the king of Lachish, and the                        ",king,of Eglon.
row_4734,"to pass, when they brought out those                         ",kings,"unto Joshua, that Joshua called for all"
row_4734,your feet upon the necks of these                            ,kings.,"And they came near, and put their"
row_4738,"the edge of the sword, and the                               ",king,"thereof he utterly destroyed, them, and all"
row_4738,none remain: and he did to the                               ,king,of Makkedah as he did unto the
row_4738,of Makkedah as he did unto the                               ,king,of Jericho.
row_4739,"the LORD delivered it also, and the                          ",king,"thereof, into the hand of Israel; and"
row_4739,remain in it; but did unto the                               ,king,thereof as he did unto the king
row_4739,king thereof as he did unto the                              ,king,of Jericho.
row_4741,Then Horam                                                   ,king,of Gezer came up to help Lachish;
row_4743,"the edge of the sword, and the                               ",king,"thereof, and all the cities thereof, and"
row_4744,"10:39 And he took it, and the                                ",king,"thereof, and all the cities thereof; and"
row_4744,"he did to Debir, and to the                                  ",king,thereof; as he had done also to
row_4744,"done also to Libnah, and to her                              ",king.,
row_4745,"and of the springs, and all their                            ",kings:,"he left none remaining, but utterly destroyed"
row_4747,And all these                                                ,kings,and their land did Joshua take at
row_4749,"And it came to pass, when Jabin                              ",king,"of Hazor had heard those things, that"
row_4749,"those things, that he sent to Jobab                          ",king,"of Madon, and to the king of"
row_4749,"Jobab king of Madon, and to the                              ",king,"of Shimron, and to the king of"
row_4749,"the king of Shimron, and to the                              ",king,"of Achshaph, 11:2 And to the kings"
row_4749,"king of Achshaph, 11:2 And to the                            ",kings,that were on the north of the
row_4751,And when all these                                           ,kings,"were met together, they came and pitched"
row_4756,"back, and took Hazor, and smote the                          ",king,thereof with the sword: for Hazor beforetime
row_4756,beforetime was the head of all those                         ,kingdoms.,
row_4758,And all the cities of those                                  ,"kings,","and all the kings of them, did"
row_4758,"cities of those kings, and all the                           ",kings,"of them, did Joshua take, and smote"
row_4762,Lebanon under mount Hermon: and all their                    ,kings,"he took, and smote them, and slew"
row_4763,war a long time with all those                               ,kings.,
row_4769,Now these are the                                            ,kings,"of the land, which the children of"
row_4769,the plain on the east: 12:2 Sihon                            ,king,"of the Amorites, who dwelt in Heshbon,"
row_4770,Ashdothpisgah: 12:4 And the coast of Og                      ,king,"of Bashan, which was of the remnant"
row_4770,"and half Gilead, the border of Sihon                         ",king,of Heshbon.
row_4772,And these are the                                            ,kings,of the country which Joshua and the
row_4772,"the Hivites, and the Jebusites: 12:9 The                     ",king,"of Jericho, one; the king of Ai,"
row_4772,"12:9 The king of Jericho, one; the                           ",king,"of Ai, which is beside Bethel, one;"
row_4773,The                                                          ,king,"of Jerusalem, one; the king of Hebron,"
row_4773,"The king of Jerusalem, one; the                              ",king,"of Hebron, one; 12:11 The king of"
row_4773,"the king of Hebron, one; 12:11 The                           ",king,"of Jarmuth, one; the king of Lachish,"
row_4773,"12:11 The king of Jarmuth, one; the                          ",king,"of Lachish, one; 12:12 The king of"
row_4773,"the king of Lachish, one; 12:12 The                          ",king,"of Eglon, one; the king of Gezer,"
row_4773,"12:12 The king of Eglon, one; the                            ",king,"of Gezer, one; 12:13 The king of"
row_4773,"the king of Gezer, one; 12:13 The                            ",king,"of Debir, one; the king of Geder,"
row_4773,"12:13 The king of Debir, one; the                            ",king,"of Geder, one; 12:14 The king of"
row_4773,"the king of Geder, one; 12:14 The                            ",king,"of Hormah, one; the king of Arad,"
row_4773,"12:14 The king of Hormah, one; the                           ",king,"of Arad, one; 12:15 The king of"
row_4773,"the king of Arad, one; 12:15 The                             ",king,"of Libnah, one; the king of Adullam,"
row_4773,"12:15 The king of Libnah, one; the                           ",king,"of Adullam, one; 12:16 Tappuah, one; the"
row_4773,"of Adullam, one; 12:16 Tappuah, one; the                     ",king,"of Hepher, one; 12:18 The king of"
row_4773,"the king of Hepher, one; 12:18 The                           ",king,"of Aphek, one; the king of Lasharon,"
row_4773,"12:18 The king of Aphek, one; the                            ",king,"of Lasharon, one; 12:19 The king of"
row_4773,"the king of Lasharon, one; 12:19 The                         ",king,"of Madon, one; the king of Hazor,"
row_4773,"12:19 The king of Madon, one; the                            ",king,"of Hazor, one; 12:20 The king of"
row_4773,"the king of Hazor, one; 12:20 The                            ",king,"of Shimronmeron, one; the king of Achshaph,"
row_4773,"12:20 The king of Shimronmeron, one; the                     ",king,"of Achshaph, one; 12:21 The king of"
row_4773,"the king of Achshaph, one; 12:21 The                         ",king,"of Taanach, one; the king of Megiddo,"
row_4773,"12:21 The king of Taanach, one; the                          ",king,"of Megiddo, one; 12:22 king of Dor"
row_4773,"one; the king of Megiddo, one; 12:22                         ",king,"of Dor in the coast of Dor,"
row_4773,"in the coast of Dor, one; the                                ",king,"of the nations of Gilgal, one; 12:24"
row_4773,"the nations of Gilgal, one; 12:24 The                        ",king,"of Tirzah, one: all the kings thirty"
row_4773,"The king of Tirzah, one: all the                             ",kings,thirty and one.
row_4777,13:10 And all the cities of Sihon                            ,king,"of the Amorites, which reigned in Heshbon,"
row_4777,all Bashan unto Salcah; 13:12 All the                        ,kingdom,"of Og in Bashan, which reigned in"
row_4781,"cities of the plain, and all the                             ",kingdom,"of Sihon king of the Amorites, which"
row_4781,"plain, and all the kingdom of Sihon                          ",king,"of the Amorites, which reigned in Heshbon,"
row_4785,"Succoth, and Zaphon, the rest of the                         ",kingdom,"of Sihon king of Heshbon, Jordan and"
row_4785,the rest of the kingdom of Sihon                             ,king,"of Heshbon, Jordan and his border, even"
row_4788,"was from Mahanaim, all Bashan, all the                       ",kingdom,"of Og king of Bashan, and all"
row_4788,"all Bashan, all the kingdom of Og                            ",king,"of Bashan, and all the towns of"
row_4788,"and Ashtaroth, and Edrei, cities of the                      ",kingdom,"of Og in Bashan, were pertaining unto"
row_4808,"the valley of Achor, and so northward,                       ",looking,"toward Gilgal, that is before the going"
row_4972,"Then Balak the son of Zippor,                                ",king,"of Moab, arose and warred against Israel,"
row_4974,"out from before you, even the two                            ",kings,of the Amorites; but not with thy
row_4999,"And Adonibezek said, Threescore and ten                      ","kings,",having their thumbs and their great toes
row_5048,sold them into the hand of Chushanrishathaim                 ,king,of Mesopotamia: and the children of Israel
row_5050,to war: and the LORD delivered Chushanrishathaim             ,king,of Mesopotamia into his hand; and his
row_5052,LORD: and the LORD strengthened Eglon the                    ,king,"of Moab against Israel, because they had"
row_5054,the children of Israel served Eglon the                      ,king,of Moab eighteen years.
row_5055,Israel sent a present unto Eglon the                         ,king,of Moab.
row_5057,And he brought the present unto Eglon                        ,king,of Moab: and Eglon was a very
row_5059,"have a secret errand unto thee, O                            ",king:,"who said, Keep silence. And all that"
row_5072,sold them into the hand of Jabin                             ,king,"of Canaan, that reigned in Hazor; the"
row_5086,for there was peace between Jabin the                        ,king,of Hazor and the house of Heber
row_5092,God subdued on that day Jabin the                            ,king,of Canaan before the children of Israel.
row_5093,"Israel prospered, and prevailed against Jabin the            ",king,"of Canaan, until they had destroyed Jabin"
row_5093,"of Canaan, until they had destroyed Jabin                    ",king,of Canaan.
row_5095,"Hear, O ye                                                   ",kings;,"give ear, O ye princes; I, even"
row_5110,The                                                          ,kings,"came and fought, then fought the kings"
row_5110,"kings came and fought, then fought the                       ",kings,of Canaan in Taanach by the waters
row_5180,"I am pursuing after Zebah and Zalmunna,                      ",kings,of Midian.
row_5187,"pursued after them, and took the two                         ",kings,"of Midian, Zebah and Zalmunna, and discomfited"
row_5191,each one resembled the children of a                         ,king.,
row_5198,and purple raiment that was on the                           ,kings,"of Midian, and beside the chains that"
row_5211,"of Millo, and went, and made Abimelech                       ","king,",by the plain of the pillar that
row_5213,forth on a time to anoint a                                  ,king,over them; and they said unto the
row_5217,"trees, If in truth ye anoint me                              ",king,"over you, then come and put your"
row_5218,"sincerely, in that ye have made Abimelech                    ","king,",and if ye have dealt well with
row_5218,"made Abimelech, the son of his maidservant,                  ",king,"over the men of Shechem, because he"
row_5276,And Jephthah sent messengers unto the                        ,king,"of the children of Ammon, saying, What"
row_5276,fight in my land? 11:13 And the                              ,king,of the children of Ammon answered unto
row_5277,And Jephthah sent messengers again unto the                  ,king,of the children of Ammon: 11:15 And
row_5278,11:17 Then Israel sent messengers unto the                   ,king,"of Edom, saying, Let me, I pray"
row_5278,"thee, pass through thy land: but the                         ",king,of Edom would not hearken thereto. And
row_5278,in like manner they sent unto the                            ,king,of Moab: but he would not consent:
row_5280,And Israel sent messengers unto Sihon                        ,king,"of the Amorites, the king of Heshbon;"
row_5280,"unto Sihon king of the Amorites, the                         ",king,"of Heshbon; and Israel said unto him,"
row_5285,"better than Balak the son of Zippor,                         ",king,of Moab? did he ever strive against
row_5286,Howbeit the                                                  ,king,of the children of Ammon hearkened not
row_5363,when he had made an end of                                   ,"speaking,",that he cast away the jawbone out
row_5401,In those days there was no                                   ,king,"in Israel, but every man did that"
row_5409,In those days there was no                                   ,king,in Israel: and in those days the
row_5434,"in those days, when there was no                             ",king,"in Israel, that there was a certain"
row_5454,Now as they were                                             ,making,"their hearts merry, behold, the men of"
row_5508,there should be to day one tribe                             ,lacking,in Israel? 21:4 And it came to
row_5526,In those days there was no                                   ,king,in Israel: every man did that which
row_5541,"to go with her, then she left                                ",speaking,unto her.
row_5564,until he shall have done eating and                          ,drinking.,
row_5631,and he shall give strength unto his                          ,"king,",and exalt the horn of his anointed.
row_5730,And Samuel took a                                            ,sucking,"lamb, and offered it for a burnt"
row_5742,in thy ways: now make us a                                   ,king,to judge us like all the nations.
row_5743,"Samuel, when they said, Give us a                            ",king,to judge us. And Samuel prayed unto
row_5746,and shew them the manner of the                              ,king,that shall reign over them.
row_5747,the people that asked of him a                               ,king.,
row_5748,This will be the manner of the                               ,king,that shall reign over you: He will
row_5755,out in that day because of your                              ,king,which ye shall have chosen you; and
row_5756,"said, Nay; but we will have a                                ",king,over us; 8:20 That we also may
row_5756,like all the nations; and that our                           ,king,"may judge us, and go out before"
row_5758,"unto their voice, and make them a                            ",king.,And Samuel said unto the men of
row_5790,found. But of the matter of the                              ,"kingdom,","whereof Samuel spake, he told him not."
row_5792,and out of the hand of all                                   ,"kingdoms,",and of them that oppressed you: 10:19
row_5792,"said unto him, Nay, but set a                                ",king,over us. Now therefore present yourselves before
row_5797,"people shouted, and said, God save the                       ",king.,
row_5798,told the people the manner of the                            ,"kingdom,","and wrote it in a book, and"
row_5814,"us go to Gilgal, and renew the                               ",kingdom,there.
row_5815,to Gilgal; and there they made Saul                          ,king,before the LORD in Gilgal; and there
row_5816,"said unto me, and have made a                                ",king,over you.
row_5817,"And now, behold, the                                         ",king,walketh before you: and I am old
row_5824,"Philistines, and into the hand of the                        ",king,"of Moab, and they fought against them."
row_5827,And when ye saw that Nahash the                              ,king,of the children of Ammon came against
row_5827,"ye said unto me, Nay; but a                                  ",king,shall reign over us: when the LORD
row_5827,when the LORD your God was your                              ,king.,
row_5828,Now therefore behold the                                     ,king,"whom ye have chosen, and whom ye"
row_5828,"and, behold, the LORD hath set a                             ",king,over you.
row_5829,then shall both ye and also the                              ,king,that reigneth over you continue following the
row_5831,"in the sight of the LORD, in                                 ",asking,you a king.
row_5831,"of the LORD, in asking you a                                 ",king.,
row_5833,"sins this evil, to ask us a                                  ",king.,
row_5837,"shall be consumed, both ye and your                          ",king.,
row_5848,now would the LORD have established thy                      ,kingdom,upon Israel for ever.
row_5849,But now thy                                                  ,kingdom,shall not continue: the LORD hath sought
row_5902,So Saul took the                                             ,kingdom,"over Israel, and fought against all his"
row_5902,"Ammon, and against Edom, and against the                     ",kings,"of Zobah, and against the Philistines: and"
row_5907,sent me to anoint thee to be                                 ,king,"over his people, over Israel: now therefore"
row_5914,And he took Agag the                                         ,king,"of the Amalekites alive, and utterly destroyed"
row_5916,I have set up Saul to be                                     ,king:,for he is turned back from following
row_5921,"of Israel, and the LORD anointed thee                        ",king,over Israel? 15:18 And the LORD sent
row_5923,"sent me, and have brought Agag the                           ",king,"of Amalek, and have utterly destroyed the"
row_5926,he hath also rejected thee from being                        ,king.,
row_5929,the LORD hath rejected thee from being                       ,king,over Israel.
row_5931,"unto him, The LORD hath rent the                             ",kingdom,"of Israel from thee this day, and"
row_5935,Bring ye hither to me Agag the                               ,king,of the Amalekites. And Agag came unto
row_5938,LORD repented that he had made Saul                          ,king,over Israel.
row_5939,Bethlehemite: for I have provided me a                       ,king,among his sons.
row_5984,"that the man who killeth him, the                            ",king,"will enrich him with great riches, and"
row_6013,"Abner said, As thy soul liveth, O                            ","king,",I cannot tell.
row_6014,And the                                                      ,king,"said, Enquire thou whose son the stripling"
row_6017,when he had made an end of                                   ,speaking,"unto Saul, that the soul of Jonathan"
row_6022,"of Israel, singing and dancing, to meet                      ",king,"Saul, with tabrets, with joy, and with"
row_6024,what can he have more but the                                ,kingdom?,
row_6034,should be son in law to the                                  ,king?,
row_6038,"with David secretly, and say, Behold, the                    ",king,"hath delight in thee, and all his"
row_6038,servants love thee: now therefore be the                     ,king’s,son in law.
row_6039,you a light thing to be a                                    ,king’s,"son in law, seeing that I am"
row_6040,"Thus shall ye say to David, The                              ",king,"desireth not any dowry, but an hundred"
row_6040,"the Philistines, to be avenged of the                        ",king’s,enemies. But Saul thought to make David
row_6041,it pleased David well to be the                              ,king’s,son in law: and the days were
row_6042,gave them in full tale to the                                ,"king,",that he might be the king’s son
row_6042,"the king, that he might be the                               ",king’s,son in law. And Saul gave him
row_6048,"and said unto him, Let not the                               ",king,"sin against his servant, against David; because"
row_6068,should not fail to sit with the                              ,king,"at meat: but let me go, that"
row_6082,"when the new moon was come, the                              ",king,sat him down to eat meat.
row_6083,And the                                                      ,king,"sat upon his seat, as at other"
row_6085,brethren. Therefore he cometh not unto the                   ,king’s,table.
