record_id,left,hit,right
row_8085,the book of the chronicles of the                       ,kings,of Judah? 21:18 And Manasseh slept with
row_8091,the book of the chronicles of the                       ,kings,of Judah? 21:26 And he was buried
row_8109,"put down the idolatrous priests, whom the               ",kings,of Judah had ordained to burn incense
row_8115,he took away the horses that the                        ,kings,"of Judah had given to the sun,"
row_8116,"the upper chamber of Ahaz, which the                    ",kings,"of Judah had made, and the altars"
row_8123,"in the cities of Samaria, which the                     ",kings,of Israel had made to provoke the
row_8126,nor in all the days of the                              ,kings,"of Israel, nor of the kings of"
row_8126,"the kings of Israel, nor of the                         ",kings,of Judah; 23:23 But in the eighteenth
row_8131,the book of the chronicles of the                       ,kings,of Judah?
row_8144,the book of the chronicles of the                       ,kings,of Judah?
row_8182,his throne above the throne of the                      ,kings,that were with him in Babylon; 25:29
row_8212,Now these are the                                       ,kings,that reigned in the land of Edom
row_8422,were written in the book of the                         ,kings,"of Israel and Judah, who were carried"
row_8584,"to do them wrong: yea, he reproved                      ",kings,"for their sakes, 16:22 Saying, Touch not"
row_8641,the gate of the city: and the                           ,kings,that were come were by themselves in
row_8652,"year was expired, at the time that                      ",kings,"go out to battle, Joab led forth"
row_8858,"and honour, such as none of the                         ",kings,"have had that have been before thee,"
row_8863,brought they out horses for all the                     ,kings,"of the Hittites, and for the kings"
row_8863,"kings of the Hittites, and for the                      ",kings,"of Syria, by their means."
row_8991,chapmen and merchants brought. And all the              ,kings,of Arabia and governors of the country
row_8998,And king Solomon passed all the                         ,kings,of the earth in riches and wisdom.
row_8999,And all the                                             ,kings,of the earth sought the presence of
row_9002,And he reigned over all the                             ,kings,from the river even unto the land
row_9111,are written in the book of the                          ,kings,of Judah and Israel.
row_9201,is mentioned in the book of the                         ,kings,of Israel.
row_9209,he walked in the way of the                             ,kings,"of Israel, like as did the house"
row_9215,hast walked in the way of the                           ,kings,"of Israel, and hast made Judah and"
row_9219,but not in the sepulchres of the                        ,kings.,
row_9266,in the city of David among the                          ,"kings,","because he had done good in Israel,"
row_9275,him not in the sepulchres of the                        ,kings.,
row_9277,the story of the book of the                            ,kings.,And Amaziah his son reigned in his
row_9301,not written in the book of the                          ,kings,of Judah and Israel? 25:27 Now after
row_9324,of the burial which belonged to the                     ,kings;,"for they said, He is a leper:"
row_9331,are written in the book of the                          ,kings,of Israel and Judah.
row_9334,he walked in the ways of the                            ,kings,"of Israel, and made also molten images"
row_9346,time did king Ahaz send unto the                        ,kings,of Assyria to help him.
row_9353,"he said, Because the gods of the                        ",kings,"of Syria help them, therefore will I"
row_9356,are written in the book of the                          ,kings,of Judah and Israel.
row_9357,him not into the sepulchres of the                      ,kings,of Israel: and Hezekiah his son reigned
row_9397,escaped out of the hand of the                          ,kings,of Assyria.
row_9436,"of the land, saying, Why should the                     ",kings,"of Assyria come, and find much water?"
row_9455,"Amoz, and in the book of the                            ",kings,of Judah and Israel.
row_9471,are written in the book of the                          ,kings,of Israel.
row_9488,and to floor the houses which the                       ,kings,of Judah had destroyed.
row_9522,Samuel the prophet; neither did all the                 ,kings,of Israel keep such a passover as
row_9530,are written in the book of the                          ,kings,of Israel and Judah.
row_9538,are written in the book of the                          ,kings,of Israel and Judah: and Jehoiachin his
row_9631,thou shalt endamage the revenue of the                  ,kings.,
row_9632,"is a rebellious city, and hurtful unto                  ",kings,"and provinces, and that they have moved"
row_9636,of old time hath made insurrection against              ,"kings,",and that rebellion and sedition have been
row_9637,There have been mighty                                  ,kings,"also over Jerusalem, which have ruled over"
row_9639,damage grow to the hurt of the                          ,kings?,4:23 Now when the copy of king
row_9660,his name to dwell there destroy all                     ,kings,"and people, that shall put to their"
row_9676,"Artaxerxes, king of                                     ","kings,","unto Ezra the priest, a scribe of"
row_9722,"and for our iniquities have we, our                     ","kings,","and our priests, been delivered into the"
row_9722,been delivered into the hand of the                     ,kings,"of the lands, to the sword, to"
row_9724,unto us in the sight of the                             ,kings,"of Persia, to give us a reviving,"
row_9961,"gavest them into their hands, with their                ","kings,","and the people of the land, that"
row_9968,"that hath come upon us, on our                          ","kings,","on our princes, and on our priests,"
row_9968,"thy people, since the time of the                       ",kings,of Assyria unto this day.
row_9969,have done wickedly: 9:34 Neither have our               ,"kings,","our princes, our priests, nor our fathers,"
row_9971,And it yieldeth much increase unto the                  ,kings,whom thou hast set over us because
row_10190,the book of the chronicles of the                       ,kings,of Media and Persia? 10:3 For Mordecai
row_10229,With                                                    ,kings,"and counsellors of the earth, which build"
row_10364,He looseth the bond of                                  ,"kings,",and girdeth their loins with a girdle.
row_10802,his eyes from the righteous: but with                   ,kings,"are they on the throne; yea, he"
row_10905,the mighty are afraid: by reason of                     ,breakings,they purify themselves.
row_10938,The                                                     ,kings,"of the earth set themselves, and the"
row_10946,"Be wise now therefore, O ye                             ",kings:,"be instructed, ye judges of the earth."
row_11597,                                                        ,Kings’,daughters were among thy honourable women: upon
row_11629,"For, lo, the                                            ",kings,"were assembled, they passed by together."
row_11903,                                                        ,Kings,of armies did flee apace: and she
row_11905,When the Almighty scattered                             ,kings,"in it, it was white as snow"
row_11920,Because of thy temple at Jerusalem shall                ,kings,bring presents unto thee.
row_12001,The                                                     ,kings,of Tarshish and of the isles shall
row_12001,of the isles shall bring presents: the                  ,kings,of Sheba and Seba shall offer gifts.
row_12002,"Yea, all                                                ",kings,shall fall down before him: all nations
row_12084,of princes: he is terrible to the                       ,kings,of the earth.
row_12344,"make him my firstborn, higher than the                  ",kings,of the earth.
row_12527,"name of the LORD, and all the                           ",kings,of the earth thy glory.
row_12611,"to do them wrong: yea, he reproved                      ",kings,for their sakes;
row_12627,"in abundance, in the chambers of their                  ",kings.,
row_12782,at thy right hand shall strike through                  ,kings,in the day of his wrath.
row_12935,will speak of thy testimonies also before               ,"kings,",and will not be ashamed.
row_13176,"Who smote great nations, and slew mighty                ",kings;,
row_13204,To him which smote great                                ,kings:,for his mercy endureth for ever:
row_13205,And slew famous                                         ,kings:,for his mercy endureth for ever:
row_13226,All the                                                 ,kings,"of the earth shall praise thee, O"
row_13306,It is he that giveth salvation unto                     ,kings:,who delivereth David his servant from the
row_13373,                                                        ,Kings,"of the earth, and all people; princes,"
row_13384,To bind their                                           ,kings,"with chains, and their nobles with fetters"
row_13545,By me                                                   ,kings,"reign, and princes decree justice."
row_13766,It is an abomination to                                 ,kings,to commit wickedness: for the throne is
row_13767,Righteous lips are the delight of                       ,kings;,and they love him that speaketh right.
row_13947,in his business? he shall stand before                  ,kings;,he shall not stand before mean men.
row_14003,conceal a thing: but the honour of                      ,kings,is to search out a matter.
row_14004,"earth for depth, and the heart of                       ",kings,is unsearchable.
row_14148,"hold with her hands, and is in                          ",kings’,palaces.
row_14153,nor thy ways to that which destroyeth                   ,kings.,
row_14154,It is not for                                           ,"kings,","O Lemuel, it is not for kings"
row_14154,"kings, O Lemuel, it is not for                          ",kings,to drink wine; nor for princes strong
row_14200,"and gold, and the peculiar treasure of                  ",kings,and of the provinces: I gat me
row_14461,"days of Uzziah, Jotham, Ahaz, and Hezekiah,             ",kings,of Judah.
row_14563,abhorrest shall be forsaken of both her                 ,kings.,
row_14612,"he saith, Are not my princes altogether                 ",kings?,10:9 Is not Calno as Carchemish? is
row_14678,raised up from their thrones all the                    ,kings,of the nations.
row_14683,house of his prisoners? 14:18 All the                   ,kings,"of the nations, even all of them,"
row_14746,"of the wise, the son of ancient                         ",kings?,19:12 Where are they? where are thy
row_14832,"ones that are on high, and the                          ",kings,of the earth upon the earth.
row_15040,"Behold, thou hast heard what the                        ",kings,of Assyria have done to all lands
row_15044,"Of a truth, LORD, the                                   ",kings,of Assyria have laid waste all the
row_15110,"before him, and made him rule over                      ",kings?,he gave them as the dust to
row_15202,and I will loose the loins of                           ,"kings,",to open before him the two leaved
row_15270,"nation abhorreth, to a servant of rulers,               ",Kings,"shall see and arise, princes also shall"
row_15284,And                                                     ,kings,"shall be thy nursing fathers, and their"
row_15326,So shall he sprinkle many nations; the                  ,kings,shall shut their mouths at him: for
row_15423,"Gentiles shall come to thy light, and                   ",kings,to the brightness of thy rising.
row_15429,"shall build up thy walls, and their                     ",kings,shall minister unto thee: for in my
row_15430,"forces of the Gentiles, and that their                  ",kings,may be brought.
row_15435,"Gentiles, and shalt suck the breast of                  ",kings:,and thou shalt know that I the
row_15452,"Gentiles shall see thy righteousness, and all           ",kings,thy glory: and thou shalt be called
row_15542,"walls against the whole land, against the               ",kings,"of Judah, against the princes thereof, against"
row_15562,"the house of Israel ashamed; they, their                ","kings,","their princes, and their priests, and their"
row_15702,shall bring out the bones of the                        ,kings,"of Judah, and the bones of his"
row_15802,"the inhabitants of this land, even the                  ",kings,"that sit upon David’s throne, and the"
row_15882,"the children of the people, whereby the                 ",kings,"of Judah come in, and by the"
row_15882,"ye the word of the LORD, ye                             ",kings,"of Judah, and all Judah, and all"
row_15886,enter into the gates of this city                       ,kings,and princes sitting upon the throne of
row_15906,"ye the word of the LORD, O                              ",kings,"of Judah, and inhabitants of Jerusalem; Thus"
row_15907,"nor their fathers have known, nor the                   ",kings,"of Judah, and have filled this place"
row_15913,"of Jerusalem, and the houses of the                     ",kings,"of Judah, shall be defiled as the"
row_15919,"thereof, and all the treasures of the                   ",kings,of Judah will I give into the
row_15942,in by the gates of this house                           ,kings,"sitting upon the throne of David, riding"
row_16012,For many nations and great                              ,kings,shall serve themselves of them also: and
row_16015,"and the cities of Judah, and the                        ",kings,"thereof, and the princes thereof, to make"
row_16015,"all the mingled people, and all the                     ",kings,"of the land of Uz, and all"
row_16015,"the land of Uz, and all the                             ",kings,"of the land of the Philistines, and"
row_16015,"children of Ammon, 25:22 And all the                    ",kings,"of Tyrus, and all the kings of"
row_16015,"the kings of Tyrus, and all the                         ",kings,"of Zidon, and the kings of the"
row_16015,"all the kings of Zidon, and the                         ",kings,of the isles which are beyond the
row_16015,"the utmost corners, 25:24 And all the                   ",kings,"of Arabia, and all the kings of"
row_16015,"the kings of Arabia, and all the                        ",kings,of the mingled people that dwell in
row_16016,And all the                                             ,kings,"of Zimri, and all the kings of"
row_16016,"the kings of Zimri, and all the                         ",kings,"of Elam, and all the kings of"
row_16016,"the kings of Elam, and all the                          ",kings,"of the Medes, 25:26 And all the"
row_16016,"of the Medes, 25:26 And all the                         ",kings,"of the north, far and near, one"
row_16051,come: and then many nations and great                   ,kings,shall serve themselves of him.
row_16167,"to provoke me to anger, they, their                     ","kings,","their princes, their priests, and their prophets,"
row_16177,"city, and concerning the houses of the                  ",kings,"of Judah, which are thrown down by"
row_16195,"the burnings of thy fathers, the former                 ",kings,"which were before thee, so shall they"
row_16353,"your fathers, and the wickedness of the                 ",kings,"of Judah, and the wickedness of their"
row_16358,"have done, we, and our fathers, our                     ","kings,","and our princes, in the cities of"
row_16360,"of Jerusalem, ye, and your fathers, your                ","kings,","and your princes, and the people of"
row_16392,"and Egypt, with their gods, and their                   ",kings;,"even Pharaoh, and all them that trust"
row_16513,"north, and a great nation, and many                     ",kings,shall be raised up from the coasts
row_16527,hath raised up the spirit of the                        ,kings,of the Medes: for his device is
row_16542,Prepare against her the nations with the                ,kings,"of the Medes, the captains thereof, and"
row_16600,his throne above the throne of the                      ,kings,"that were with him in Babylon, 52:33"
row_16711,The                                                     ,kings,"of the earth, and all the inhabitants"
row_17249,"Nebuchadrezzar king of Babylon, a king of               ","kings,","from the north, with horses, and with"
row_17287,filledst many people; thou didst enrich the             ,kings,of the earth with the multitude of
row_17289,"shall be astonished at thee, and their                  ",kings,"shall be sore afraid, they shall be"
row_17301,"the ground, I will lay thee before                      ","kings,",that they may behold thee.
row_17372,"many people amazed at thee, and their                   ",kings,"shall be horribly afraid for thee, when"
row_17389,"There is Edom, her                                      ","kings,","and all her princes, which with their"
row_17633,"no more defile, neither they, nor their                 ","kings,","by their whoredom, nor by the carcases"
row_17633,"whoredom, nor by the carcases of their                  ",kings,in their high places.
row_17635,"their whoredom, and the carcases of their               ","kings,","far from me, and I will dwell"
row_17821,the times and the seasons: he removeth                  ,"kings,",and setteth up kings: he giveth wisdom
row_17821,"seasons: he removeth kings, and setteth up              ",kings:,"he giveth wisdom unto the wise, and"
row_17832,"Thou, O king, art a king of                             ",kings:,for the God of heaven hath given
row_17839,And in the days of these                                ,kings,shall the God of heaven set up
row_17842,"God of gods, and a Lord of                              ","kings,","and a revealer of secrets, seeing thou"
row_17960,"great beasts, which are four, are four                  ","kings,",which shall arise out of the earth.
row_17965,horns out of this kingdom are ten                       ,kings,that shall arise: and another shall rise
row_17965,"the first, and he shall subdue three                    ",kings.,
row_17988,thou sawest having two horns are the                    ,kings,of Media and Persia.
row_17998,which spake in thy name to our                          ,"kings,","our princes, and our fathers, and to"
row_18000,"us belongeth confusion of face, to our                  ","kings,","to our princes, and to our fathers,"
row_18028,me; and I remained there with the                       ,kings,of Persia.
row_18037,"Behold, there shall stand up yet three                  ",kings,in Persia; and the fourth shall be
row_18061,And both of these                                       ,kings’,"hearts shall be to do mischief, and"
row_18092,"days of Uzziah, Jotham, Ahaz, and Hezekiah,             ",kings,"of Judah, and in the days of"
row_18178,and have devoured their judges; all their               ,kings,are fallen: there is none among them
row_18191,They have set up                                        ,"kings,",but not by me: they have made
row_18497,"the days of Jotham, Ahaz, and Hezekiah,                 ",kings,"of Judah, which he saw concerning Samaria"
row_18509,Achzib shall be a lie to the                            ,kings,of Israel.
row_18640,And they shall scoff at the                             ,"kings,",and the princes shall be a scorn
row_19172,ye shall be brought before governors and                ,kings,"for my sake, for a testimony against"
row_19199,they that wear soft clothing are in                     ,kings’,houses.
row_19399,"thinkest thou, Simon? of whom do the                    ",kings,of the earth take custom or tribute?
row_20160,ye shall be brought before rulers and                   ,kings,"for my sake, for a testimony against"
row_20535,"gorgeously apparelled, and live delicately, are in      ",kings’,courts.
row_20680,"I tell you, that many prophets and                      ",kings,have desired to see those things which
row_21015,"synagogues, and into prisons, being brought before      ",kings,and rulers for my name’s sake.
row_21058,"And he said unto them, The                              ",kings,of the Gentiles exercise lordship over them;
row_21990,the people imagine vain things? 4:26 The                ,kings,"of the earth stood up, and the"
row_22126,"bear my name before the Gentiles, and                   ","kings,",and the children of Israel: 9:16 For
row_23039,"ye are rich, ye have reigned as                         ",kings,without us: and I would to God
row_23966,be made for all men; 2:2 For                            ,"kings,",and for all that are in authority;
row_24035,"blessed and only Potentate, the King of                 ","kings,",and Lord of lords; 6:16 Who only
row_24207,Abraham returning from the slaughter of the             ,"kings,",and blessed him; 7:2 To whom also
row_24305,11:36 And others had trial of cruel                     ,mockings,"and scourgings, yea, moreover of bonds and"
row_24440,"guile, and hypocrisies, and envies, all evil            ","speakings,","2:2 As newborn babes, desire the sincere"
row_24663,"the dead, and the prince of the                         ",kings,of the earth. Unto him that loved
row_24663,"own blood, 1:6 And hath made us                         ",kings,and priests unto God and his Father;
row_24731,And hast made us unto our God                           ,kings,and priests: and we shall reign on
row_24746,And the                                                 ,kings,"of the earth, and the great men,"
row_24794,"many peoples, and nations, and tongues, and             ",kings.,
row_24877,"dried up, that the way of the                           ",kings,of the east might be prepared.
row_24879,"working miracles, which go forth unto the               ",kings,of the earth and of the whole
row_24887,upon many waters: 17:2 With whom the                    ,kings,"of the earth have committed fornication, and"
row_24895,And there are seven                                     ,kings:,"five are fallen, and one is, and"
row_24897,ten horns which thou sawest are ten                     ,"kings,",which have received no kingdom as yet;
row_24897,kingdom as yet; but receive power as                    ,kings,one hour with the beast.
row_24899,"is Lord of lords, and King of                           ",kings:,and they that are with him are
row_24903,"that great city, which reigneth over the                ",kings,of the earth.
row_24906,"the wrath of her fornication, and the                   ",kings,of the earth have committed fornication with
row_24912,And the                                                 ,kings,"of the earth, who have committed fornication"
row_24935,"his thigh a name written, KING OF                       ","KINGS,",AND LORD OF LORDS.
row_24936,That ye may eat the flesh of                            ,"kings,","and the flesh of captains, and the"
row_24937,"And I saw the beast, and the                            ",kings,"of the earth, and their armies, gathered"
row_24973,in the light of it: and the                             ,kings,of the earth do bring their glory
